parcode,trial,rt,choice,valueLeft,valueRight
0,0,1962,-1,0,1.5
0,5,1188,-1,1.5,0.5
0,9,987,-1,1,0
0,13,873,1,0,1.5
0,14,1205,1,0,1
0,15,1085,1,0,1
0,16,1133,-1,1.5,0
0,18,908,1,0.5,1.5
0,24,1589,1,0.5,1.5
0,26,1891,1,0,1
0,28,1239,-1,1.5,0
0,33,1009,1,0,1
0,36,1625,-1,1,0
0,38,1259,1,0,1
0,39,1109,1,0.5,1.5
0,44,1765,1,1.5,0.5
0,45,1079,1,0,1
0,49,1885,1,0,1
0,51,2425,-1,1,0
0,59,1397,1,0,1.5
0,65,1505,-1,1,0
0,66,1149,-1,1,0
0,68,1877,-1,1,0
0,70,1175,-1,1,0
0,72,1445,-1,1.5,0
0,73,1085,-1,1,0
0,76,977,-1,1,0
0,77,977,1,0.5,1.5
0,80,992,1,0.5,1.5
0,86,1777,-1,1.5,0
0,87,1551,1,0,1.5
0,89,1395,1,0.5,1.5
0,90,3322,-1,1.5,0.5
0,93,1511,-1,1.5,0.5
0,94,1173,-1,1.5,0
0,97,2412,1,0,1.5
0,98,1585,1,0,1.5
0,99,1095,1,0,1
0,101,1597,-1,1.5,0.5
0,105,3073,1,0,1
0,108,1437,-1,1,0
0,110,3913,-1,0,1
0,113,1191,-1,1.5,0
0,114,1735,1,0,1.5
0,115,1325,-1,1,0
0,118,1288,-1,1,0
0,122,1127,1,0,1
0,130,1499,1,0,1
0,131,1811,1,0,1
0,132,917,-1,1,0
0,134,1052,1,0,1.5
0,135,3078,1,1.5,0.5
0,141,995,-1,1.5,0.5
0,145,943,1,0,1
0,148,2163,-1,1,0
0,150,947,-1,1.5,0.5
0,152,1141,-1,1.5,0.5
0,153,1001,-1,1.5,0
0,154,960,-1,1,0
0,157,1033,1,0,1
0,161,947,1,0,1
0,164,1329,-1,1,0
0,169,1075,1,0,1
0,170,1108,1,0.5,1.5
0,171,1097,1,0.5,1.5
0,172,922,1,0,1
0,173,1016,-1,1,0
0,174,1212,-1,1,0
0,178,1109,-1,1,0
0,179,889,1,0,1
0,181,868,1,0.5,1.5
0,182,889,-1,1,0
0,183,1303,1,0,1.5
0,184,1138,-1,1,0
0,186,1464,-1,1.5,0
0,187,1191,-1,1,0
0,191,1215,-1,0,1
0,193,1065,1,0.5,1.5
0,195,631,-1,1.5,0
0,198,1505,1,1,0
0,200,960,-1,1.5,0
0,203,1131,1,0,1
0,204,1159,-1,1,0
0,211,1387,1,0.5,1.5
0,215,1017,1,0,1.5
0,220,1217,-1,1.5,0.5
0,223,1111,1,0.5,1.5
0,224,963,-1,1.5,0
0,227,1186,1,0,1
0,229,1055,1,0,1
0,232,1032,-1,1.5,0.5
0,233,1296,-1,1.5,0
0,236,1295,-1,1.5,0.5
0,240,1254,1,0.5,1.5
0,244,1016,1,0,1.5
0,246,973,1,0,1.5
0,247,1185,-1,1.5,0
0,252,1012,1,0,1
0,256,2310,-1,0,1
0,257,1251,1,0,1
0,259,1113,-1,1,0
0,260,970,1,0,1.5
0,263,1163,-1,1.5,0.5
0,265,1068,1,0.5,1.5
0,268,1342,-1,1.5,0.5
0,269,1520,1,0,1.5
0,270,1156,-1,1,0
0,271,1226,1,0,1
0,272,788,-1,1.5,0.5
0,275,1021,-1,1,0
0,278,1494,-1,1,0
0,281,1027,1,0,1
0,284,1347,1,0.5,1.5
0,287,952,1,0,1.5
0,289,1835,1,1,0
0,291,787,1,0.5,1.5
0,292,1934,-1,1,0
0,293,1404,-1,1,0
0,294,1008,1,0,1
0,298,952,-1,1.5,0
0,300,1156,-1,1,0
0,310,2111,-1,0,1.5
0,316,1099,-1,1.5,0.5
0,320,1205,1,1,0
0,324,1009,1,0,1.5
0,325,1299,1,0,1
0,326,911,1,0,1
0,327,1973,-1,1.5,0
0,329,1401,1,0.5,1.5
0,335,1208,1,0.5,1.5
0,338,2571,-1,0,1
0,340,1567,-1,1.5,0
0,345,2067,1,0,1
0,346,1075,1,0,1
0,349,1887,-1,1,0
0,351,1003,-1,0,1
0,352,1653,-1,0.5,1.5
0,357,1171,-1,1.5,0.5
0,358,1557,1,0,1
0,362,1339,1,0,1
0,364,1291,-1,1,0
0,376,1419,-1,1,0
0,377,961,-1,1,0
0,379,1881,1,1,0
0,382,1137,-1,1.5,0
0,383,1305,-1,1,0
0,385,1021,1,0.5,1.5
0,387,1807,1,0.5,1.5
0,392,2195,-1,1.5,0
0,393,1513,1,0,1.5
0,395,1083,1,0.5,1.5
0,396,1175,-1,1.5,0.5
0,399,1461,-1,1.5,0.5
0,400,875,-1,1.5,0
0,403,1261,1,0,1.5
0,404,941,1,0,1.5
0,405,1028,1,0,1
0,407,2033,-1,1.5,0.5
0,411,887,1,0,1
0,414,1277,-1,1,0
0,416,2833,1,0,1
0,419,1117,-1,1.5,0
0,420,1477,1,0,1.5
0,421,1929,-1,1,0
