parcode,trial,fixItem,fixTime,encF,compE
0,0,1,188,0,1
0,0,2,582,0,1
0,0,1,834,0,1
0,5,1,222,0,1
0,5,2,346,0,1
0,5,1,242,0,1
0,9,1,336,0,1
0,9,2,314,0,1
0,13,1,226,0,1
0,13,2,346,0,1
0,14,1,332,0,1
0,14,2,586,0,1
0,15,1,234,0,1
0,15,2,492,0,1
0,16,1,230,0,1
0,16,2,312,0,1
0,16,1,210,0,1
0,18,1,186,0,1
0,18,2,390,0,1
0,24,1,374,0,1
0,24,2,534,0,1
0,24,1,288,0,1
0,26,1,280,0,1
0,26,2,638,0,1
0,26,1,290,0,1
0,26,2,224,0,1
0,28,1,234,0,1
0,28,2,400,0,1
0,28,1,230,0,1
0,33,1,192,0,1
0,33,2,520,0,1
0,36,1,264,0,1
0,36,2,428,0,1
0,36,1,558,0,1
0,38,1,186,0,1
0,38,2,744,0,1
0,39,1,230,0,1
0,39,2,560,0,1
0,44,1,264,0,1
0,44,2,258,0,1
0,44,1,484,0,1
0,44,2,102,0,1
0,45,1,190,0,1
0,45,2,574,0,1
0,49,1,204,0,1
0,49,2,668,0,1
0,49,1,380,0,1
0,49,2,178,0,1
0,51,1,168,0,1
0,51,2,376,0,1
0,51,1,774,0,1
0,51,2,352,0,1
0,51,1,236,0,1
0,59,2,308,0,1
0,59,1,402,0,1
0,59,2,98,0,1
0,65,1,186,0,1
0,65,2,398,0,1
0,65,1,538,0,1
0,66,1,378,0,1
0,66,2,268,0,1
0,66,1,128,0,1
0,68,1,316,0,1
0,68,2,456,0,1
0,68,1,706,0,1
0,70,1,236,0,1
0,70,2,364,0,1
0,70,1,54,0,1
0,72,1,370,0,1
0,72,2,414,0,1
0,72,1,136,0,1
0,73,1,266,0,1
0,73,2,362,0,1
0,76,2,300,0,1
0,76,1,332,0,1
0,77,1,208,0,1
0,77,2,452,0,1
0,80,1,246,0,1
0,80,2,432,0,1
0,86,1,538,0,1
0,86,2,656,0,1
0,86,1,186,0,1
0,87,1,480,0,1
0,87,2,744,0,1
0,89,1,322,0,1
0,89,2,758,0,1
0,90,1,208,0,1
0,90,2,444,0,1
0,90,1,736,0,1
0,90,2,534,0,1
0,90,1,870,0,1
0,93,1,298,0,1
0,93,2,424,0,1
0,93,1,426,0,1
0,94,1,328,0,1
0,94,2,304,0,1
0,94,1,144,0,1
0,97,1,216,0,1
0,97,2,880,0,1
0,97,1,440,0,1
0,97,2,424,0,1
0,98,1,266,0,1
0,98,2,1030,0,1
0,99,1,280,0,1
0,99,2,518,0,1
0,101,1,232,0,1
0,101,2,588,0,1
0,101,1,416,0,1
0,105,1,226,0,1
0,105,2,500,0,1
0,105,1,648,0,1
0,105,2,426,0,1
0,105,1,582,0,1
0,105,2,92,0,1
0,108,1,276,1,1
0,108,2,686,1,1
0,108,1,104,1,1
0,110,1,454,1,1
0,110,2,632,1,1
0,110,1,1060,1,1
0,110,2,1068,1,1
0,110,1,98,1,1
0,113,1,320,1,1
0,113,2,398,1,1
0,113,1,76,1,1
0,114,2,430,1,1
0,114,1,386,1,1
0,114,2,312,1,1
0,115,1,292,1,1
0,115,2,414,1,1
0,115,1,206,1,1
0,118,1,224,1,1
0,118,2,472,1,1
0,118,1,120,1,1
0,122,1,338,1,1
0,122,2,478,1,1
0,130,1,366,1,1
0,130,2,558,1,1
0,130,1,160,1,1
0,131,1,454,1,1
0,131,2,1048,1,1
0,132,1,466,1,1
0,134,1,226,1,1
0,134,2,536,1,1
0,135,1,372,1,1
0,135,2,134,1,1
0,135,1,1026,1,1
0,135,2,726,1,1
0,141,1,510,1,1
0,141,2,168,1,1
0,145,1,276,1,1
0,145,2,242,1,1
0,148,1,288,1,1
0,148,2,652,1,1
0,148,1,882,1,1
0,150,1,230,1,1
0,150,2,276,1,1
0,150,1,76,1,1
0,152,1,352,1,1
0,152,2,304,1,1
0,152,1,92,1,1
0,153,1,318,1,1
0,153,2,286,1,1
0,153,1,34,1,1
0,154,1,300,1,1
0,154,2,306,1,1
0,157,1,318,1,1
0,157,2,434,1,1
0,161,1,256,1,1
0,161,2,410,1,1
0,164,1,274,1,1
0,164,2,410,1,1
0,164,1,248,1,1
0,169,1,248,1,1
0,169,2,524,1,1
0,170,1,260,1,1
0,170,2,554,1,1
0,171,1,296,1,1
0,171,2,504,1,1
0,172,1,200,1,1
0,172,2,410,1,1
0,173,1,206,1,1
0,173,2,352,1,1
0,173,1,110,1,1
0,174,1,224,1,1
0,174,2,394,1,1
0,174,1,240,1,1
0,178,1,254,1,1
0,178,2,358,1,1
0,178,1,42,1,1
0,179,1,254,1,1
0,179,2,354,1,1
0,181,1,272,1,1
0,181,2,234,1,1
0,182,1,176,1,1
0,182,2,236,1,1
0,182,1,88,1,1
0,183,1,430,1,1
0,183,2,372,1,1
0,184,1,244,1,1
0,184,2,350,1,1
0,184,1,166,1,1
0,186,1,352,1,1
0,186,2,436,1,1
0,186,1,290,1,1
0,187,1,364,0,1
0,187,2,348,0,1
0,187,1,70,0,1
0,191,1,248,0,1
0,191,2,384,0,1
0,191,1,214,0,1
0,193,1,288,0,1
0,193,2,486,0,1
0,195,1,320,0,1
0,195,2,30,0,1
0,198,1,244,0,1
0,198,2,486,0,1
0,198,1,418,0,1
0,200,1,220,0,1
0,200,2,318,0,1
0,203,1,272,0,1
0,203,2,586,0,1
0,204,1,272,0,1
0,204,2,358,0,1
0,204,1,72,0,1
0,211,1,392,1,1
0,211,2,654,1,1
0,215,1,276,1,1
0,215,2,462,1,1
0,220,1,398,1,1
0,220,2,394,1,1
0,220,1,36,1,1
0,223,1,318,1,1
0,223,2,492,1,1
0,224,1,394,1,1
0,224,2,262,1,1
0,227,1,264,1,1
0,227,2,598,1,1
0,229,1,238,1,1
0,229,2,486,1,1
0,232,1,266,1,1
0,232,2,400,1,1
0,233,2,326,1,1
0,233,1,590,1,1
0,236,1,300,1,1
0,236,2,506,1,1
0,236,1,118,1,1
0,240,1,338,1,1
0,240,2,362,1,1
0,244,1,264,1,1
0,244,2,474,1,1
0,246,1,220,1,1
0,246,2,298,1,1
0,247,1,334,1,1
0,247,2,324,1,1
0,247,1,154,1,1
0,252,1,226,1,1
0,252,2,508,1,1
0,256,1,586,0,1
0,256,2,828,0,1
0,256,1,496,0,1
0,257,1,358,0,1
0,257,2,570,0,1
0,259,1,566,0,1
0,259,2,252,0,1
0,260,1,244,0,1
0,260,2,434,0,1
0,263,1,270,0,1
0,263,2,366,0,1
0,263,1,148,0,1
0,265,1,272,0,1
0,265,2,470,0,1
0,268,1,250,0,1
0,268,2,406,0,1
0,268,1,244,0,1
0,269,1,268,0,1
0,269,2,612,0,1
0,269,1,224,0,1
0,270,1,216,0,1
0,270,2,388,0,1
0,270,1,180,0,1
0,271,1,226,0,1
0,271,2,470,0,1
0,271,1,186,0,1
0,272,1,256,0,1
0,272,2,246,0,1
