parcode,trial,fixItem,fixTime,encF,compE
0,1,1,318,0,0
0,1,2,646,0,0
0,1,1,514,0,0
0,1,2,358,0,0
0,1,1,516,0,0
0,2,1,194,0,0
0,2,2,574,0,0
0,2,1,364,0,0
0,2,2,30,0,0
0,3,1,1408,0,0
0,3,2,808,0,0
0,3,1,262,0,0
0,3,2,302,0,0
0,4,1,266,0,0
0,4,2,602,0,0
0,6,1,408,0,0
0,6,2,412,0,0
0,6,1,300,0,0
0,7,1,274,0,0
0,7,2,520,0,0
0,7,1,450,0,0
0,7,2,150,0,0
0,8,1,296,0,0
0,8,2,498,0,0
0,8,1,468,0,0
0,8,2,50,0,0
0,10,1,260,0,0
0,10,2,514,0,0
0,11,2,302,0,0
0,11,1,412,0,0
0,11,2,222,0,0
0,12,1,316,0,0
0,12,2,442,0,0
0,12,1,882,0,0
0,17,1,208,0,0
0,17,2,462,0,0
0,19,1,228,0,0
0,19,2,424,0,0
0,19,1,408,0,0
0,19,2,204,0,0
0,20,1,226,0,0
0,20,2,516,0,0
0,20,1,248,0,0
0,21,1,348,0,0
0,21,2,878,0,0
0,21,1,308,0,0
0,22,1,212,0,0
0,22,2,410,0,0
0,22,1,318,0,0
0,22,2,108,0,0
0,23,1,264,0,0
0,23,2,548,0,0
0,25,2,290,0,0
0,25,1,408,0,0
0,27,1,190,0,0
0,27,2,624,0,0
0,27,1,162,0,0
0,29,1,188,0,0
0,29,2,482,0,0
0,29,1,624,0,0
0,29,2,82,0,0
0,30,1,318,0,0
0,30,2,422,0,0
0,30,1,272,0,0
0,31,1,292,0,0
0,31,2,580,0,0
0,31,1,526,0,0
0,31,2,118,0,0
0,32,1,284,0,0
0,32,2,488,0,0
0,32,1,490,0,0
0,34,1,182,0,0
0,34,2,498,0,0
0,34,1,420,0,0
0,34,2,248,0,0
0,35,1,260,0,0
0,35,2,670,0,0
0,35,1,1030,0,0
0,37,1,394,0,0
0,37,2,508,0,0
0,37,1,350,0,0
0,40,1,190,0,0
0,40,2,632,0,0
0,41,1,282,0,0
0,41,2,726,0,0
0,42,1,276,0,0
0,42,2,440,0,0
0,42,1,292,0,0
0,42,2,474,0,0
0,42,1,424,0,0
0,42,2,362,0,0
0,43,1,174,0,0
0,43,2,468,0,0
0,43,1,432,0,0
0,43,2,220,0,0
0,46,1,198,0,0
0,46,2,764,0,0
0,47,1,1970,0,0
0,47,2,568,0,0
0,47,1,256,0,0
0,48,1,176,0,0
0,48,2,462,0,0
0,50,1,172,0,0
0,50,2,614,0,0
0,52,1,418,0,0
0,52,2,532,0,0
0,52,1,734,0,0
0,52,2,1112,0,0
0,52,1,102,0,0
0,53,1,184,0,0
0,53,2,406,0,0
0,53,1,322,0,0
0,53,2,502,0,0
0,53,1,316,0,0
0,54,1,216,0,0
0,54,2,514,0,0
0,54,1,878,0,0
0,55,1,408,0,0
0,55,2,288,0,0
0,55,1,28,0,0
0,56,1,252,0,0
0,56,2,614,0,0
0,57,1,268,0,0
0,57,2,448,0,0
0,57,1,250,0,0
0,58,1,212,0,0
0,58,2,708,0,0
0,58,1,256,0,0
0,60,1,220,0,0
0,60,2,534,0,0
0,60,1,396,0,0
0,61,1,186,0,0
0,61,2,582,0,0
0,62,1,222,0,0
0,62,2,488,0,0
0,62,1,606,0,0
0,63,1,266,0,0
0,63,2,710,0,0
0,63,1,276,0,0
0,63,2,106,0,0
0,64,1,188,0,0
0,64,2,510,0,0
0,67,1,162,0,0
0,67,2,538,0,0
0,69,1,240,0,0
0,69,2,454,0,0
0,69,1,422,0,0
0,71,1,302,0,0
0,71,2,350,0,0
0,71,1,30,0,0
0,74,1,336,0,0
0,74,2,450,0,0
0,74,1,498,0,0
0,74,2,50,0,0
0,75,1,240,0,0
0,75,2,400,0,0
0,75,1,134,0,0
0,78,1,234,0,0
0,78,2,926,0,0
0,79,2,360,0,0
0,79,1,532,0,0
0,79,2,384,0,0
0,81,1,262,0,0
0,81,2,684,0,0
0,82,1,578,0,0
0,82,2,858,0,0
0,82,1,298,0,0
0,83,1,352,0,0
0,83,2,286,0,0
0,84,1,212,0,0
0,84,2,482,0,0
0,84,1,534,0,0
0,85,1,252,0,0
0,85,2,636,0,0
0,85,1,190,0,0
0,88,1,440,0,0
0,88,2,500,0,0
0,88,1,136,0,0
0,91,1,380,0,0
0,91,2,496,0,0
0,91,1,434,0,0
0,91,2,816,0,0
0,92,1,252,0,0
0,92,2,528,0,0
0,92,1,1418,0,0
0,92,2,500,0,0
0,92,1,78,0,0
0,95,1,268,0,0
0,95,2,862,0,0
0,96,1,244,0,0
0,96,2,892,0,0
0,100,1,234,0,0
0,100,2,482,0,0
0,100,1,404,0,0
0,102,1,290,0,0
0,102,2,616,0,0
0,103,1,192,0,0
0,103,2,376,0,0
0,103,1,824,0,0
0,104,1,330,0,0
0,104,2,494,0,0
0,104,1,230,0,0
0,106,1,306,0,0
0,106,2,576,0,0
0,106,1,688,0,0
0,106,2,232,0,0
0,107,1,254,1,0
0,107,2,630,1,0
0,107,1,1182,1,0
0,109,1,346,1,0
0,109,2,768,1,0
0,111,1,380,1,0
0,111,2,1826,1,0
0,111,1,528,1,0
0,112,1,286,1,0
0,112,2,452,1,0
0,112,1,222,1,0
0,116,1,272,1,0
0,116,2,722,1,0
0,117,1,282,1,0
0,117,2,472,1,0
0,117,1,468,1,0
0,117,2,850,1,0
0,119,1,262,1,0
0,119,2,392,1,0
0,119,1,592,1,0
0,119,2,348,1,0
0,119,1,84,1,0
0,120,1,280,1,0
0,120,2,464,1,0
0,120,1,388,1,0
0,120,2,826,1,0
0,120,1,182,1,0
0,121,1,234,1,0
0,121,2,568,1,0
0,123,1,398,1,0
0,123,2,538,1,0
0,123,1,412,1,0
0,124,1,244,1,0
0,124,2,364,1,0
0,124,1,70,1,0
0,125,1,290,1,0
0,125,2,744,1,0
0,126,1,320,1,0
0,126,2,364,1,0
0,127,1,346,1,0
0,127,2,522,1,0
0,128,1,416,1,0
0,128,2,446,1,0
0,129,1,340,1,0
0,129,2,814,1,0
0,129,1,638,1,0
0,129,2,752,1,0
0,133,1,320,1,0
0,133,2,394,1,0
0,133,1,584,1,0
0,136,1,318,1,0
0,136,2,482,1,0
0,137,1,376,1,0
0,137,2,636,1,0
0,138,1,348,1,0
0,138,2,504,1,0
0,138,1,242,1,0
0,139,1,342,1,0
0,139,2,662,1,0
0,140,1,494,1,0
0,140,2,578,1,0
0,140,1,202,1,0
0,142,1,272,1,0
0,142,2,486,1,0
0,143,1,290,1,0
0,143,2,890,1,0
0,144,1,462,1,0
0,144,2,386,1,0
0,144,1,200,1,0
0,146,1,344,1,0
0,146,2,420,1,0
0,146,1,204,1,0
0,147,1,254,1,0
0,147,2,512,1,0
0,149,1,264,1,0
0,149,2,460,1,0
0,151,1,208,1,0
0,151,2,578,1,0
0,151,1,506,1,0
0,155,1,310,1,0
0,155,2,658,1,0
0,156,1,334,1,0
0,156,2,404,1,0
0,158,1,284,1,0
0,158,2,450,1,0
0,158,1,382,1,0
0,159,1,318,1,0
0,159,2,278,1,0
0,159,1,312,1,0
0,160,1,268,1,0
0,160,2,406,1,0
0,160,1,272,1,0
0,162,1,302,1,0
0,162,2,316,1,0
0,162,1,126,1,0
0,163,1,306,1,0
0,163,2,264,1,0
0,165,1,206,1,0
0,165,2,498,1,0
0,165,1,1094,1,0
0,165,2,368,1,0
0,166,1,240,1,0
0,166,2,640,1,0
0,167,1,254,1,0
0,167,2,292,1,0
0,168,1,268,1,0
0,168,2,256,1,0
0,168,1,174,1,0
0,175,1,246,1,0
0,175,2,408,1,0
0,175,1,218,1,0
0,176,1,294,1,0
0,176,2,712,1,0
0,177,1,250,1,0
0,177,2,224,1,0
0,180,1,452,1,0
0,180,2,1092,1,0
0,185,1,306,1,0
0,185,2,448,1,0
0,185,1,106,1,0
0,188,1,386,0,0
0,188,2,522,0,0
0,189,1,238,0,0
0,189,2,592,0,0
0,189,1,476,0,0
0,189,2,610,0,0
0,189,1,634,0,0
0,189,2,236,0,0
0,190,1,244,0,0
0,190,2,460,0,0
0,190,1,508,0,0
0,192,1,258,0,0
0,192,2,360,0,0
0,192,1,174,0,0
0,194,1,332,0,0
0,194,2,284,0,0
0,194,1,128,0,0
0,196,1,242,0,0
0,196,2,518,0,0
0,197,1,274,0,0
0,197,2,506,0,0
0,199,1,280,0,0
0,199,2,352,0,0
0,201,1,266,0,0
0,201,2,310,0,0
0,202,1,224,0,0
0,202,2,528,0,0
0,202,1,274,0,0
0,205,1,242,0,0
0,205,2,308,0,0
0,205,1,58,0,0
0,206,1,314,0,0
0,206,2,388,0,0
0,206,1,60,0,0
0,207,1,308,0,0
0,207,2,586,0,0
0,208,1,338,0,0
0,208,2,406,0,0
0,208,1,424,0,0
0,208,2,38,0,0
0,209,1,176,0,0
0,209,2,528,0,0
0,210,1,176,0,0
0,210,2,578,0,0
0,212,2,364,1,0
0,212,1,486,1,0
0,213,1,308,1,0
0,213,2,732,1,0
0,214,1,378,1,0
0,214,2,156,1,0
0,216,1,310,1,0
0,216,2,402,1,0
0,216,1,34,1,0
0,217,1,240,1,0
0,217,2,408,1,0
0,218,1,314,1,0
0,218,2,414,1,0
0,219,1,290,1,0
0,219,2,542,1,0
0,219,1,506,1,0
0,219,2,100,1,0
0,221,1,244,1,0
0,221,2,782,1,0
0,221,1,864,1,0
0,222,1,310,1,0
0,222,2,412,1,0
0,222,1,138,1,0
0,225,1,330,1,0
0,225,2,520,1,0
0,226,1,266,1,0
0,226,2,438,1,0
0,226,1,182,1,0
0,228,1,256,1,0
0,228,2,424,1,0
0,230,1,292,1,0
0,230,2,396,1,0
0,231,1,340,1,0
0,231,2,636,1,0
0,231,1,654,1,0
0,234,1,240,1,0
0,234,2,636,1,0
0,235,1,60,1,0
0,235,2,678,1,0
0,235,1,470,1,0
0,237,1,252,1,0
0,237,2,312,1,0
0,238,1,272,1,0
0,238,2,172,1,0
0,238,1,186,1,0
0,239,1,318,1,0
0,239,2,406,1,0
0,239,1,132,1,0
0,241,1,298,1,0
0,241,2,446,1,0
0,241,1,194,1,0
0,242,1,404,1,0
0,242,2,328,1,0
0,242,1,156,1,0
0,243,1,252,1,0
0,243,2,336,1,0
0,243,1,402,1,0
0,245,1,450,1,0
0,245,2,340,1,0
0,245,1,220,1,0
0,248,1,396,1,0
0,248,2,286,1,0
0,249,1,290,1,0
0,249,2,364,1,0
0,249,1,212,1,0
0,250,1,372,1,0
0,250,2,324,1,0
0,250,1,34,1,0
0,251,1,240,1,0
0,251,2,340,1,0
0,251,1,140,1,0
0,253,1,210,1,0
0,253,2,486,1,0
0,254,1,316,0,0
0,254,2,522,0,0
0,254,1,268,0,0
0,255,1,328,0,0
0,255,2,374,0,0
0,255,1,92,0,0
