index, subj,d,s,theta,k
0,0,0.0065,0.07,0.25,0
1,1,0.007,0.065,0.3,0
2,2,0.0035,0.065,0.25,0
3,3,0.007,0.06,0.35,0
4,4,0.0055,0.075,0.1,0
5,5,0.005,0.08,0.15,0
6,6,0.002,0.055,0.45,0
7,7,0.0045,0.075,0.05,0
8,8,0.0055,0.075,0.75,0
9,9,0.008,0.075,0.6,0
10,10,0.0075,0.1,0.05,0
11,11,0.0055,0.07,0.6,0
12,12,0.0045,0.07,0.35,0
13,13,0.003,0.065,0.4,0
14,14,0.0025,0.07,0.35,0
15,15,0.0055,0.085,0.25,0
16,16,0.008,0.09,0.1,0
17,17,0.004,0.055,0.15,0
18,18,0.006,0.08,0.25,0
19,19,0.002,0.075,0.5,0
20,20,0.0035,0.07,0.5,0
21,21,0.003,0.065,0.3,0
22,22,0.0085,0.085,0,0
23,23,0.0035,0.06,0,0
24,24,0.005,0.09,0.25,0
