index, subj,d,s,theta,k
0,0,0.0032,0.07,0.25,0
1,1,0.0034,0.065,0.3,0
2,2,0.0017,0.065,0.25,0
3,3,0.0034,0.06,0.4,0
4,4,0.0028,0.075,0.05,0
5,5,0.0026,0.08,0.1,0
6,6,0.0011,0.055,0.4,0
7,7,0.0021,0.075,0.05,0
8,8,0.0028,0.075,0.7,0
9,9,0.0039,0.075,0.65,0
10,10,0.0038,0.1,0.05,0
11,11,0.0028,0.07,0.55,0
12,12,0.0023,0.07,0.35,0
13,13,0.0016,0.065,0.3,0
14,14,0.0013,0.07,0.35,0
15,15,0.0028,0.085,0.2,0
16,16,0.0039,0.09,0.1,0
17,17,0.0019,0.055,0.2,0
18,18,0.003,0.08,0.25,0
19,19,0.0011,0.075,0.4,0
20,20,0.0016,0.07,0.55,0
21,21,0.0014,0.065,0.35,0
22,22,0.0042,0.085,0,0
23,23,0.0018,0.06,0,0
24,24,0.0025,0.09,0.25,0
