index, subj,d,s,theta,k
0,0,0.011,0.09,0.1,0
1,1,0.011,0.085,0.05,0
2,2,0.006,0.07,0,0
3,3,0.009,0.07,0.15,0
4,4,0.01,0.085,0,0
5,5,0.01,0.08,0,0
6,6,0.004,0.06,0.2,0
7,7,0.006,0.075,0,0
8,8,0.01,0.085,0.3,0
9,9,0.01,0.08,0.25,0
10,10,0.013,0.1,0,0
11,11,0.009,0.09,0.4,0
12,12,0.007,0.075,0.15,0
13,13,0.006,0.065,0.05,0
14,14,0.005,0.065,0.1,0
15,15,0.011,0.095,0.1,0
16,16,0.015,0.1,0.05,0
17,17,0.005,0.055,0,0
18,18,0.009,0.09,0.05,0
19,19,0.001,0.08,0,0
20,20,0.006,0.065,0.05,0
21,21,0.004,0.06,0.1,0
22,22,0.016,0.095,0,0
23,23,0.006,0.06,0,0
24,24,0.008,0.09,0.4,0
