index, subj,d,s,theta,k
0,0,0.0075,0.05,0.5,0
1,1,0.008,0.05,0.5,0
2,2,0.004,0.05,0.5,0
3,3,0.007,0.05,0.5,0
4,4,0.0065,0.05,0.5,0
5,5,0.006,0.05,0.5,0
6,6,0.002,0.05,0.5,0
7,7,0.0045,0.05,0.5,0
8,8,0.007,0.05,0.5,0
9,9,0.007,0.05,0.5,0
10,10,0.0085,0.05,0.5,0
11,11,0.0075,0.05,0.5,0
12,12,0.0055,0.05,0.5,0
13,13,0.004,0.05,0.5,0
14,14,0.0035,0.05,0.5,0
15,15,0.0075,0.05,0.5,0
16,16,0.0095,0.05,0.5,0
17,17,0.003,0.05,0.5,0
18,18,0.0075,0.05,0.5,0
19,19,0.0015,0.05,0.5,0
20,20,0.004,0.05,0.5,0
21,21,0.0025,0.05,0.5,0
22,22,0.0095,0.05,0.5,0
23,23,0.0035,0.05,0.5,0
24,24,0.005,0.05,0.5,0
