d,sigma,theta,k
0.016,0.07,0.1,0
0.017,0.065,0.2,0
0.009,0.065,0.1,0
0.017,0.065,0.2,0
0.014,0.075,0,0
0.013,0.08,0,0
0.006,0.055,0.15,0
0.01,0.075,0,0
0.013,0.075,0.6,0
0.018,0.075,0.5,0
0.019,0.1,0,0
0.014,0.07,0.4,0
0.011,0.07,0.25,0
0.008,0.065,0.2,0
0.006,0.07,0.3,0
0.014,0.085,0.1,0
0.02,0.085,0,0
0.009,0.055,0.1,0
0.015,0.08,0.1,0
0.005,0.075,0.35,0
0.008,0.07,0.35,0
0.007,0.065,0.2,0
0.021,0.085,0,0
0.008,0.06,0,0
0.012,0.09,0.15,0
0.011,0.09,0.1,0
0.011,0.085,0.05,0
0.006,0.07,0,0
0.009,0.07,0.15,0
0.01,0.085,0,0
0.01,0.08,0,0
0.004,0.06,0.2,0
0.006,0.075,0,0
0.01,0.085,0.3,0
0.01,0.08,0.25,0
0.013,0.1,0,0
0.009,0.09,0.4,0
0.007,0.075,0.15,0
0.006,0.065,0.05,0
0.005,0.065,0.1,0
0.011,0.095,0.1,0
0.015,0.1,0.05,0
0.005,0.055,0,0
0.009,0.09,0.05,0
0.001,0.08,0,0
0.006,0.065,0.05,0
0.004,0.06,0.1,0
0.016,0.095,0,0
0.006,0.06,0,0
0.008,0.09,0.4,0
