d,sigma,theta,k
0.0062,0.05,0.5,0
0.0069,0.05,0.5,0
0.0034,0.05,0.5,0
0.0072,0.05,0.5,0
0.0051,0.05,0.5,0
0.0049,0.05,0.5,0
0.0023,0.05,0.5,0
0.0036,0.05,0.5,0
0.0067,0.05,0.5,0
0.0089,0.05,0.5,0
0.0069,0.05,0.5,0
0.0064,0.05,0.5,0
0.0046,0.05,0.5,0
0.0032,0.05,0.5,0
0.0026,0.05,0.5,0
0.0052,0.05,0.5,0
0.0073,0.05,0.5,0
0.0035,0.05,0.5,0
0.0057,0.05,0.5,0
0.0022,0.05,0.5,0
0.0036,0.05,0.5,0
0.0029,0.05,0.5,0
0.0076,0.05,0.5,0
0.003,0.05,0.5,0
0.0046,0.05,0.5,0
0.0046,0.05,0.5,0
0.0044,0.05,0.5,0
0.0023,0.05,0.5,0
0.0038,0.05,0.5,0
0.0041,0.05,0.5,0
0.0039,0.05,0.5,0
0.0016,0.05,0.5,0
0.0025,0.05,0.5,0
0.0043,0.05,0.5,0
0.0046,0.05,0.5,0
0.0053,0.05,0.5,0
0.0039,0.05,0.5,0
0.0029,0.05,0.5,0
0.0023,0.05,0.5,0
0.0022,0.05,0.5,0
0.0046,0.05,0.5,0
0.006,0.05,0.5,0
0.0019,0.05,0.5,0
0.0036,0.05,0.5,0
0.0001,0.05,0.5,0
0.0025,0.05,0.5,0
0.0017,0.05,0.5,0
0.0055,0.05,0.5,0
0.0024,0.05,0.5,0
0.0037,0.05,0.5,0
