d,sigma,theta,k
0.01,0.07,0.25,0
0.01,0.065,0.3,0
0.0081,0.065,0.25,0
0.01,0.06,0.35,0
0.01,0.075,0.05,0
0.01,0.08,0.1,0
0.0052,0.055,0.4,0
0.01,0.075,0.05,0
0.01,0.075,0.7,0
0.01,0.075,0.65,0
0.01,0.1,0.05,0
0.01,0.07,0.55,0
0.01,0.07,0.35,0
0.0072,0.065,0.35,0
0.0059,0.07,0.35,0
0.01,0.085,0.2,0
0.01,0.09,0.1,0
0.0087,0.055,0.2,0
0.01,0.08,0.25,0
0.0049,0.075,0.4,0
0.0075,0.07,0.55,0
0.0066,0.065,0.35,0
0.01,0.085,0,0
0.0085,0.06,0,0
0.01,0.09,0.25,0
0.01,0.085,0.35,0
0.0098,0.075,0.4,0
0.005,0.065,0.45,0
0.0079,0.06,0.5,0
0.01,0.08,0.25,0
0.0097,0.08,0.2,0
0.0036,0.06,0.35,0
0.0059,0.07,0.35,0
0.0082,0.085,0.65,0
0.0094,0.08,0.55,0
0.01,0.1,0.3,0
0.0077,0.085,0.65,0
0.0055,0.07,0.65,0
0.0052,0.065,0.4,0
0.0047,0.065,0.45,0
0.01,0.09,0.45,0
0.01,0.095,0.35,0
0.004,0.055,0.4,0
0.0083,0.085,0.4,0
0.0001,0.08,0.75,0
0.0055,0.065,0.4,0
0.0037,0.06,0.4,0
0.01,0.09,0.05,0
0.0058,0.06,0.2,0
0.0076,0.09,0.55,0
