d,sigma,theta,k
0.0064,0.07,0.25,0
0.0069,0.065,0.3,0
0.0035,0.065,0.25,0
0.0069,0.06,0.35,0
0.0056,0.075,0.05,0
0.0051,0.08,0.1,0
0.0022,0.055,0.4,0
0.0043,0.075,0.05,0
0.0056,0.075,0.7,0
0.0078,0.075,0.65,0
0.0075,0.1,0.05,0
0.0057,0.07,0.55,0
0.0045,0.07,0.35,0
0.0031,0.065,0.35,0
0.0026,0.07,0.35,0
0.0056,0.085,0.2,0
0.0078,0.09,0.1,0
0.0038,0.055,0.2,0
0.0059,0.08,0.25,0
0.0022,0.075,0.4,0
0.0033,0.07,0.55,0
0.0028,0.065,0.35,0
0.0085,0.085,0,0
0.0036,0.06,0,0
0.0049,0.09,0.25,0
0.0074,0.085,0.35,0
0.0081,0.075,0.4,0
0.0037,0.065,0.45,0
0.0067,0.06,0.5,0
0.0062,0.08,0.25,0
0.0059,0.08,0.2,0
0.0019,0.06,0.35,0
0.0045,0.07,0.35,0
0.0065,0.085,0.65,0
0.0067,0.08,0.55,0
0.0081,0.1,0.3,0
0.0071,0.085,0.65,0
0.0054,0.07,0.65,0
0.004,0.065,0.4,0
0.0034,0.065,0.45,0
0.0071,0.09,0.45,0
0.0099,0.095,0.35,0
0.0032,0.055,0.4,0
0.0071,0.085,0.4,0
0.0015,0.08,0.75,0
0.0041,0.065,0.4,0
0.0028,0.06,0.4,0
0.0098,0.09,0.05,0
0.0036,0.06,0.2,0
0.0046,0.09,0.55,0
