trial,choice,rt,valueLeft,valueRight,fixItem,fixTime
0,1,1080,3,3,0,220
0,1,1080,3,3,2,170
0,1,1080,3,3,0,70
0,1,1080,3,3,1,350
0,1,1080,3,3,0,80
0,1,1080,3,3,2,190
1,-1,2570,3,2,0,200
1,-1,2570,3,2,2,210
1,-1,2570,3,2,0,70
1,-1,2570,3,2,1,420
1,-1,2570,3,2,0,80
1,-1,2570,3,2,2,470
1,-1,2570,3,2,0,50
1,-1,2570,3,2,1,1070
2,-1,780,3,0,0,350
2,-1,780,3,0,1,430
3,-1,1600,3,0,0,250
3,-1,1600,3,0,1,180
3,-1,1600,3,0,0,70
3,-1,1600,3,0,2,410
3,-1,1600,3,0,0,80
3,-1,1600,3,0,1,440
3,-1,1600,3,0,0,50
3,-1,1600,3,0,2,120
4,-1,1850,3,0,0,260
4,-1,1850,3,0,1,180
4,-1,1850,3,0,0,70
4,-1,1850,3,0,2,360
4,-1,1850,3,0,0,80
4,-1,1850,3,0,1,440
4,-1,1850,3,0,0,50
4,-1,1850,3,0,2,410
5,1,2790,3,6,0,280
5,1,2790,3,6,2,200
5,1,2790,3,6,0,70
5,1,2790,3,6,1,920
5,1,2790,3,6,0,80
5,1,2790,3,6,2,550
5,1,2790,3,6,0,50
5,1,2790,3,6,1,370
5,1,2790,3,6,0,70
5,1,2790,3,6,2,200
6,1,1090,3,4,0,220
6,1,1090,3,4,2,120
6,1,1090,3,4,0,70
6,1,1090,3,4,1,680
7,-1,4830,3,2,0,230
7,-1,4830,3,2,1,460
7,-1,4830,3,2,0,70
7,-1,4830,3,2,2,480
7,-1,4830,3,2,0,80
7,-1,4830,3,2,1,550
7,-1,4830,3,2,0,50
7,-1,4830,3,2,2,1760
7,-1,4830,3,2,0,70
7,-1,4830,3,2,1,390
7,-1,4830,3,2,0,80
7,-1,4830,3,2,2,490
7,-1,4830,3,2,0,100
7,-1,4830,3,2,1,20
8,-1,2850,3,3,0,280
8,-1,2850,3,3,1,200
8,-1,2850,3,3,0,70
8,-1,2850,3,3,2,350
8,-1,2850,3,3,0,80
8,-1,2850,3,3,1,1870
9,-1,920,3,0,0,110
9,-1,920,3,0,1,150
9,-1,920,3,0,0,70
