choice,rt,valueLeft,valueRight
-1,890,3,1
1,5390,3,4
1,870,3,4
1,1400,3,5
1,590,3,5
-1,980,3,1
1,860,3,6
1,830,3,3
-1,1460,3,1
1,4930,3,3
1,1030,3,6
1,850,3,6
-1,210,3,0
-1,830,3,2
-1,720,3,1
-1,360,3,0
-1,560,3,0
1,250,3,5
1,230,3,6
1,610,3,5
-1,730,3,3
-1,3830,3,3
-1,1700,3,1
1,690,3,6
-1,800,3,0
-1,290,3,1
-1,640,3,0
1,390,3,6
-1,1170,3,2
1,490,3,6
1,310,3,4
1,510,3,3
1,3390,3,2
1,4790,3,3
-1,500,3,1
-1,1020,3,1
-1,680,3,0
1,460,3,3
-1,730,3,1
-1,2400,3,2
1,1280,3,4
1,310,3,6
1,1520,3,4
-1,1810,3,1
-1,720,3,2
1,2050,3,3
-1,3640,3,1
-1,910,3,3
1,460,3,6
-1,1990,3,3
1,6000,3,3
-1,1000,3,4
-1,1590,3,4
1,1180,3,5
-1,1940,3,3
-1,300,3,0
1,2940,3,3
-1,2010,3,1
-1,1440,3,0
1,1810,3,4
1,1160,3,3
1,260,3,5
-1,500,3,2
1,1200,3,4
-1,890,3,5
1,620,3,4
1,670,3,6
1,310,3,6
-1,450,3,1
1,610,3,3
1,3850,3,3
1,1520,3,3
1,400,3,5
1,2230,3,4
1,3320,3,3
-1,470,3,1
1,1660,3,4
-1,720,3,0
1,1430,3,4
1,840,3,6
1,2050,3,4
1,470,3,6
1,1310,3,5
-1,920,3,3
-1,2570,3,1
-1,3640,3,4
1,530,3,5
1,920,3,4
-1,1690,3,2
1,1240,3,3
1,720,3,3
1,580,3,5
-1,1320,3,0
1,3670,3,4
-1,1770,3,3
1,420,3,6
-1,730,3,2
-1,1130,3,3
-1,1410,3,2
-1,3020,3,2
1,1010,3,5
-1,1030,3,3
1,1250,3,5
-1,1550,3,3
-1,2770,3,2
1,4810,3,3
1,660,3,5
-1,510,3,1
-1,1080,3,2
-1,1260,3,1
1,520,3,5
1,460,3,4
-1,2000,3,3
1,880,3,4
-1,360,3,2
-1,1620,3,0
1,660,3,6
-1,1010,3,1
-1,420,3,1
1,680,3,6
1,1100,3,3
-1,330,3,4
1,3030,3,4
-1,1340,3,0
1,350,3,4
1,650,3,6
-1,1330,3,3
1,1090,3,6
1,610,3,5
-1,1930,3,1
1,1410,3,5
1,270,3,5
-1,1280,3,2
-1,1370,3,1
-1,500,3,0
1,800,3,1
1,780,3,5
1,1140,3,5
1,400,3,5
1,1490,3,4
-1,470,3,0
1,440,3,5
-1,760,3,0
-1,1160,3,2
-1,1210,3,0
-1,2240,3,2
1,570,3,5
1,4100,3,4
1,590,3,5
1,1160,3,4
-1,800,3,2
1,620,3,3
1,500,3,6
-1,1530,3,1
1,1470,3,6
1,2160,3,3
1,810,3,4
-1,380,3,2
1,590,3,6
1,290,3,5
1,720,3,6
-1,340,3,0
-1,960,3,1
-1,460,3,1
1,440,3,4
1,1340,3,4
-1,1750,3,0
-1,3750,3,3
-1,420,3,0
-1,780,3,1
-1,500,3,1
-1,1070,3,1
1,1190,3,3
-1,1040,3,3
1,1640,3,5
-1,2340,3,2
-1,350,3,0
-1,730,3,0
1,340,3,6
1,460,3,4
-1,1400,3,2
-1,950,3,0
1,530,3,6
1,1200,3,4
1,310,3,5
-1,610,3,0
1,530,3,4
1,410,3,6
-1,1460,3,2
-1,5610,3,2
-1,790,3,2
-1,810,3,0
1,450,3,5
1,1710,3,6
1,180,3,5
-1,2180,3,3
-1,3170,3,2
-1,610,3,1
1,490,3,5
-1,2310,3,1
1,1750,3,4
1,1270,3,5
1,1360,3,6
-1,840,3,4
1,2200,3,4
1,830,3,5
-1,4590,3,2
1,1450,3,3
1,500,3,4
-1,500,3,0
1,1520,3,6
-1,720,3,5
1,2230,3,4
1,920,3,4
-1,680,3,1
-1,1880,3,2
-1,1160,3,2
1,920,3,6
1,590,3,5
-1,670,3,1
1,490,3,6
1,2340,3,5
-1,2460,3,3
-1,1050,3,1
1,580,3,6
1,540,3,6
-1,220,3,1
1,830,3,5
1,380,3,6
-1,930,3,3
-1,1150,3,1
-1,740,3,2
1,610,3,4
1,710,3,6
1,4050,3,3
-1,1140,3,0
1,680,3,6
-1,450,3,2
-1,1110,3,2
1,470,3,4
-1,860,3,1
1,1050,3,3
1,800,3,6
1,1730,3,5
-1,960,3,0
-1,620,3,3
